date,stock,action,price,shares,cost,reason,profit
20260202,300811.SZ,BUY,75.89999999999999,100,7589.999999999999,Initial Buy,
20260202,301000.SZ,BUY,41.71,300,12513.0,Initial Buy,
20260202,301408.SZ,BUY,21.12,600,12672.0,Initial Buy,
20260202,300693.SZ,BUY,37.68000000000001,300,11304.000000000002,Initial Buy,
20260202,300433.SZ,BUY,35.800000000000004,400,14320.000000000002,Initial Buy,
20260202,300938.SZ,BUY,36.6,400,14640.0,Initial Buy,
20260202,300602.SZ,BUY,34.00000000000001,400,13600.000000000004,Initial Buy,
20260202,300285.SZ,BUY,28.59,500,14295.0,Initial Buy,
20260202,300570.SZ,BUY,115.56,100,11556.0,Initial Buy,
20260202,300604.SZ,BUY,120.61,100,12061.0,Initial Buy,
20260202,301382.SZ,BUY,38.6,300,11580.0,Initial Buy,
20260202,300576.SZ,BUY,39.7,300,11910.0,Initial Buy,
20260202,301109.SZ,BUY,15.23,900,13707.0,Initial Buy,
20260202,300863.SZ,BUY,61.67,200,12334.0,Initial Buy,
20260202,300115.SZ,BUY,37.5,300,11250.0,Initial Buy,
20260202,300200.SZ,BUY,11.81,1200,14172.0,Initial Buy,
20260202,301225.SZ,BUY,142.22,100,14222.0,Initial Buy,
20260202,300577.SZ,BUY,20.7,700,14490.0,Initial Buy,
20260202,300623.SZ,BUY,32.05,400,12819.999999999998,Initial Buy,
20260202,301078.SZ,BUY,10.8,1300,14040.000000000002,Initial Buy,
20260202,300505.SZ,BUY,27.330000000000002,500,13665.000000000002,Initial Buy,
20260202,300446.SZ,BUY,23.16,600,13896.0,Initial Buy,
20260202,300304.SZ,BUY,12.28,1100,13508.0,Initial Buy,
20260202,300398.SZ,BUY,26.44,500,13220.0,Initial Buy,
20260202,300113.SZ,BUY,24.5,600,14700.0,Initial Buy,
20260202,300790.SZ,BUY,26.400000000000002,500,13200.000000000002,Initial Buy,
20260202,300458.SZ,BUY,42.88,300,12864.0,Initial Buy,
20260202,301175.SZ,BUY,6.07,2400,14568.0,Initial Buy,
20260202,301305.SZ,BUY,25.8,500,12900.0,Initial Buy,
20260202,300354.SZ,BUY,42.17,300,12651.0,Initial Buy,
20260202,300035.SZ,BUY,20.880000000000003,700,14616.000000000002,Initial Buy,
20260202,300573.SZ,BUY,67.94,200,13588.0,Initial Buy,
20260202,301219.SZ,BUY,69.22999999999999,200,13845.999999999998,Initial Buy,
20260202,300777.SZ,BUY,43.35,300,13005.0,Initial Buy,
20260202,301028.SZ,BUY,15.09,900,13581.0,Initial Buy,
20260202,300444.SZ,BUY,15.120000000000001,900,13608.0,Initial Buy,
20260202,300627.SZ,BUY,37.43000000000001,300,11229.000000000002,Initial Buy,
20260202,301196.SZ,BUY,72.69,200,14538.0,Initial Buy,
20260202,300170.SZ,BUY,25.700000000000003,500,12850.000000000002,Initial Buy,
20260202,301160.SZ,BUY,64.37,200,12874.0,Initial Buy,
20260202,300708.SZ,BUY,9.91,1400,13874.0,Initial Buy,
20260202,300905.SZ,BUY,35.42,400,14168.0,Initial Buy,
20260202,301031.SZ,BUY,140.6,100,14060.0,Initial Buy,
20260202,300236.SZ,BUY,75.03,100,7503.0,Initial Buy,
20260202,300917.SZ,BUY,38.71,300,11613.0,Initial Buy,
20260202,300251.SZ,BUY,19.64,700,13748.0,Initial Buy,
20260202,300684.SZ,BUY,55.050000000000004,200,11010.0,Initial Buy,
20260202,300088.SZ,BUY,6.21,2300,14283.0,Initial Buy,
20260202,301291.SZ,BUY,45.13,300,13539.0,Initial Buy,
20260202,300292.SZ,BUY,4.66,3100,14446.0,Initial Buy,
20260202,300445.SZ,BUY,23.770000000000003,600,14262.000000000002,Initial Buy,
20260202,300724.SZ,BUY,132.66000000000003,100,13266.000000000002,Initial Buy,
20260202,300776.SZ,BUY,84.73,100,8473.0,Initial Buy,
20260202,300083.SZ,BUY,8.69,1600,13904.0,Initial Buy,
20260202,300346.SZ,BUY,52.75,200,10550.0,Initial Buy,
20260202,300012.SZ,BUY,15.170000000000002,900,13653.000000000002,Initial Buy,
20260202,300373.SZ,BUY,78.96,100,7895.999999999999,Initial Buy,
20260204,300432.SZ,BUY,18.490000000000002,200,3698.0000000000005,Daily Buy,
20260205,300320.SZ,BUY,10.540000000000001,300,3162.0000000000005,Daily Buy,
20260206,300181.SZ,BUY,17.51,200,3502.0000000000005,Daily Buy,
20260210,300973.SZ,BUY,43.19,100,4319.0,Daily Buy,
20260226,300100.SZ,BUY,36.41,100,3640.9999999999995,Daily Buy,
20260227,300428.SZ,BUY,25.77,100,2577.0,Daily Buy,
20260303,300415.SZ,BUY,27.4,100,2740.0,Daily Buy,
20260303,300453.SZ,BUY,9.47,400,3788.0000000000005,Daily Buy,
20260316,300685.SZ,BUY,21.8,100,2180.0,Daily Buy,
20260317,300596.SZ,BUY,44.94,100,4494.0,Daily Buy,
20260317,300811.SZ,SELL,75.89999999999999,100,,结束平仓,0.0
20260317,301000.SZ,SELL,41.71,300,,结束平仓,0.0
20260317,301408.SZ,SELL,21.12,600,,结束平仓,0.0
20260317,300693.SZ,SELL,37.68000000000001,300,,结束平仓,0.0
20260317,300433.SZ,SELL,35.800000000000004,400,,结束平仓,0.0
20260317,300938.SZ,SELL,36.6,400,,结束平仓,0.0
20260317,300602.SZ,SELL,34.00000000000001,400,,结束平仓,0.0
20260317,300285.SZ,SELL,28.59,500,,结束平仓,0.0
20260317,300570.SZ,SELL,115.56,100,,结束平仓,0.0
20260317,300604.SZ,SELL,120.61,100,,结束平仓,0.0
20260317,301382.SZ,SELL,38.6,300,,结束平仓,0.0
20260317,300576.SZ,SELL,39.7,300,,结束平仓,0.0
20260317,301109.SZ,SELL,15.23,900,,结束平仓,0.0
20260317,300863.SZ,SELL,61.67,200,,结束平仓,0.0
20260317,300115.SZ,SELL,37.5,300,,结束平仓,0.0
20260317,300200.SZ,SELL,11.81,1200,,结束平仓,0.0
20260317,301225.SZ,SELL,142.22,100,,结束平仓,0.0
20260317,300577.SZ,SELL,20.7,700,,结束平仓,0.0
20260317,300623.SZ,SELL,32.05,400,,结束平仓,0.0
20260317,301078.SZ,SELL,10.8,1300,,结束平仓,0.0
20260317,300505.SZ,SELL,27.330000000000002,500,,结束平仓,0.0
20260317,300446.SZ,SELL,23.16,600,,结束平仓,0.0
20260317,300304.SZ,SELL,12.28,1100,,结束平仓,0.0
20260317,300398.SZ,SELL,26.44,500,,结束平仓,0.0
20260317,300113.SZ,SELL,24.5,600,,结束平仓,0.0
20260317,300790.SZ,SELL,26.400000000000002,500,,结束平仓,0.0
20260317,300458.SZ,SELL,42.88,300,,结束平仓,0.0
20260317,301175.SZ,SELL,6.07,2400,,结束平仓,0.0
20260317,301305.SZ,SELL,25.8,500,,结束平仓,0.0
20260317,300354.SZ,SELL,42.17,300,,结束平仓,0.0
20260317,300035.SZ,SELL,20.880000000000003,700,,结束平仓,0.0
20260317,300573.SZ,SELL,67.94,200,,结束平仓,0.0
20260317,301219.SZ,SELL,69.22999999999999,200,,结束平仓,0.0
20260317,300777.SZ,SELL,43.35,300,,结束平仓,0.0
20260317,301028.SZ,SELL,15.09,900,,结束平仓,0.0
20260317,300444.SZ,SELL,15.120000000000001,900,,结束平仓,0.0
20260317,300627.SZ,SELL,37.43000000000001,300,,结束平仓,0.0
20260317,301196.SZ,SELL,72.69,200,,结束平仓,0.0
20260317,300170.SZ,SELL,25.700000000000003,500,,结束平仓,0.0
20260317,301160.SZ,SELL,64.37,200,,结束平仓,0.0
20260317,300708.SZ,SELL,9.91,1400,,结束平仓,0.0
20260317,300905.SZ,SELL,35.42,400,,结束平仓,0.0
20260317,301031.SZ,SELL,140.6,100,,结束平仓,0.0
20260317,300236.SZ,SELL,75.03,100,,结束平仓,0.0
20260317,300917.SZ,SELL,38.71,300,,结束平仓,0.0
20260317,300251.SZ,SELL,19.64,700,,结束平仓,0.0
20260317,300684.SZ,SELL,55.050000000000004,200,,结束平仓,0.0
20260317,300088.SZ,SELL,6.21,2300,,结束平仓,0.0
20260317,301291.SZ,SELL,45.13,300,,结束平仓,0.0
20260317,300292.SZ,SELL,4.66,3100,,结束平仓,0.0
20260317,300445.SZ,SELL,23.770000000000003,600,,结束平仓,0.0
20260317,300724.SZ,SELL,132.66000000000003,100,,结束平仓,0.0
20260317,300776.SZ,SELL,84.73,100,,结束平仓,0.0
20260317,300083.SZ,SELL,8.69,1600,,结束平仓,0.0
20260317,300346.SZ,SELL,52.75,200,,结束平仓,0.0
20260317,300012.SZ,SELL,15.170000000000002,900,,结束平仓,0.0
20260317,300373.SZ,SELL,78.96,100,,结束平仓,0.0
20260317,300432.SZ,SELL,18.490000000000002,200,,结束平仓,0.0
20260317,300320.SZ,SELL,10.540000000000001,300,,结束平仓,0.0
20260317,300181.SZ,SELL,17.51,200,,结束平仓,0.0
20260317,300973.SZ,SELL,43.19,100,,结束平仓,0.0
20260317,300100.SZ,SELL,36.41,100,,结束平仓,0.0
20260317,300428.SZ,SELL,25.77,100,,结束平仓,0.0
20260317,300415.SZ,SELL,27.4,100,,结束平仓,0.0
20260317,300453.SZ,SELL,9.47,400,,结束平仓,0.0
20260317,300685.SZ,SELL,21.8,100,,结束平仓,0.0
20260317,300596.SZ,SELL,44.94,100,,结束平仓,0.0
